# Posterior probabilities of HI were assessed using the estimated fraction of haploinsufficient genes as prior (24%), thus some genes may have less observed PTVs that expected and even though have a low posterior probability.
# name = HGNC symbol
# posterior = posterior of being intolerant to PTVs 
# observedtruncationcount = number of PTVs in the gene
# expectedtruncationcount = number of expected PTVs in the gene as a function of its de novo mutation rate and number of synonymous mutations
name posterior observedtruncationcount expectedtruncationcount
CRIPAK 5.456336756971606E-40 63 7.410416396551338
CD36 4.8811256890838545E-20 31 5.3454837305794225
PLIN4 2.4576577112730985E-18 30 13.096802006735901
CFTR 7.16525758703664E-18 31 21.04736584197851
ABCA13 2.8392149454475886E-17 39 62.04368959364493
PKHD1L1 3.4696666990621504E-17 37 53.50908149827582
MYOF 5.3866671069182205E-17 32 31.979132590582292
POLQ 2.176169675828937E-16 32 36.3734370268278
ZNF418 4.077224469774613E-15 25 13.5162560945585
CCDC66 6.28223682169359E-15 25 14.876853913878328
ABCA7 1.4716033592772555E-14 27 26.721586168354392
CEP290 2.6416347643692876E-14 28 33.14575298099605
PLB1 3.2490268335548484E-14 25 20.04850400143672
DNAH7 4.304167066570887E-14 33 57.596544229444575
IGSF10 1.01498994306253E-13 27 32.79932690744738
PRR21 2.483048398864859E-13 20 3.534835974509562
CENPJ 5.381803548438025E-13 23 19.71797084073096
CUBN 6.601922038795491E-13 29 47.85827991838891
MYH8 1.001380325731686E-12 24 26.255110676691928
PRDM9 1.0669434172825964E-12 21 12.706104822751918
HLA-A 1.869734499655866E-12 19 5.305987705220302
SEC31B 2.203124430562119E-12 21 14.988127541564165
TDRD6 3.868815180574677E-12 23 25.92600434360829
SFI1 4.731400960022394E-12 22 21.97659900845027
MYH4 4.913013896845448E-12 23 26.678012266387235
ABCC12 5.032856089704939E-12 21 17.588127384639165
HLA-DRB5 5.038513359732175E-12 18 3.8430615410817897
HRNR 7.852839035570892E-12 29 55.65124886942509
BRCA2 2.5947870900628393E-11 25 41.08145012130496
ALMS1 3.069683053032073E-11 28 55.35901398266469
HKR1 3.456049105002216E-11 18 9.903457049036177
XIRP2 3.6504976431296676E-11 26 46.73866851570448
ZNF880 4.11253079351512E-11 17 5.867940676216377
MYH1 5.3235939685397484E-11 21 25.011753065756857
MYO1A 6.253751711693718E-11 19 16.352833767163183
CAPN12 8.022066162596753E-11 17 7.970816663038045
MYH15 9.603199052146879E-11 21 26.868481306840515
KIF20B 1.9106008713192656E-10 21 29.033513449079052
ANKRD35 1.9477858323543384E-10 18 15.345577077446627
FER1L6 1.9712616692135548E-10 20 24.549017496014145
FLG2 2.535475455766829E-10 22 34.506944627221245
LRRIQ1 2.8861336525646497E-10 20 25.748897674732643
MIB1 2.897510765639739E-10 18 16.595545415483738
TEX15 3.2267356042993573E-10 22 35.2657208462596
SAMD9L 3.967538376493474E-10 19 22.167582155512
TCHH 4.2762686668360433E-10 22 36.15202483901535
PIWIL3 4.777701418298713E-10 17 13.586654836633768
SPG11 4.849916705950398E-10 21 31.965339006653856
NLRP12 6.238097598592856E-10 17 14.426082864110974
PLA2R1 8.053687345368885E-10 18 19.812936836578935
PTPRH 1.0500016538148747E-9 17 16.064874572474533
FAM129A 1.2759235711597383E-9 16 12.095344002567595
NFE2L3 1.3662501921933808E-9 15 7.727749288519929
AQPEP 1.4618855475846335E-9 16 12.52355230638172
VPS13B 1.6916128745954605E-9 25 54.228718988948614
L1TD1 1.90885535070445E-9 15 8.780305079200293
TLR1 2.080351825887456E-9 15 9.051075510408872
IFIH1 2.1131341451374033E-9 16 13.683150994265393
LRRCC1 2.5937250554789763E-9 16 14.328099874436468
HLA-B 2.7322935382980833E-9 14 5.3261695331363
COL6A6 2.7903103528821373E-9 19 28.306634374948025
DCHS2 3.229871361798093E-9 20 33.3499150025711
CEP152 4.0433562232959525E-9 18 24.89116204127155
ABCA10 4.171412834695486E-9 17 20.4064259457199
ATP13A5 4.3310231848103004E-9 16 15.941735908827457
AP1G2 4.431859222434434E-9 15 11.43130443393221
ZNF226 4.734649235727709E-9 15 11.639303078322438
PNPLA7 4.8846543268418126E-9 16 16.320336586221725
ZNF100 5.1223206760672346E-9 14 7.304126360098003
SAMD9 5.767104627428951E-9 17 21.42587711641463
DMBT1 5.83204739102018E-9 21 39.79258901307429
C20orf26 5.958487210898675E-9 16 16.945757370424687
ANO7 6.043767694440726E-9 15 12.407616057381093
MST1R 6.7443284509193115E-9 16 17.33565863249564
SLC5A10 6.992413411390806E-9 14 8.283615936067187
NLRP14 7.632634940052384E-9 15 13.142207715657047
C17orf97 7.653433287803343E-9 13 3.985037734893373
ABCA9 8.311070222799882E-9 17 22.575949263587823
DLEC1 8.598999191893861E-9 17 22.683137424301005
BEST3 9.052292086876989E-9 14 9.096218235846074
PTCHD3 1.2314923101786493E-8 14 10.064930355063462
PPEF2 1.4388947722965279E-8 14 10.55479952887356
ZNF721 1.6125508951566313E-8 14 10.913406592902836
ABCC10 1.6794442398356356E-8 16 20.207063924398536
OBSCN 1.735942344699788E-8 32 93.63707459368135
STAB1 1.7431859579874E-8 19 34.072906361078665
DUOX1 1.868970421451983E-8 16 20.543585735945406
CEP89 1.8890412519698347E-8 14 11.411469667580711
DUOX2 2.3052233493101502E-8 16 21.20385242677923
ABCC11 2.5908477344915568E-8 15 16.98861090907706
FAM186B 2.6711020871360342E-8 14 12.501754586620306
C5orf42 2.7134611956569444E-8 19 35.46560940554445
ABCB6 2.7273939478880844E-8 14 12.567392299229214
RBKS 2.742940319084359E-8 12 3.419546694391596
ZNF14 3.040940946523095E-8 14 12.90988028223174
C9 3.114343707954755E-8 13 8.402080194707473
PAPLN 3.192735068742327E-8 15 17.646054303071324
RETSAT 3.397309233770559E-8 13 8.675783949912805
PIK3C2G 3.4928573406201705E-8 15 17.928812494633103
GPR179 3.568866350723965E-8 18 31.745168269521052
ACSM1 3.69043070388676E-8 13 8.936250836049563
A2ML1 4.1053783011908415E-8 15 18.43734240484812
OGFR 4.25356460390536E-8 13 9.383208744150762
ERN2 4.4844498093477664E-8 14 14.132436109776606
TRPM2 4.7157493984263685E-8 15 18.873586228203738
ZNF594 4.737347968193843E-8 13 9.72223373103029
RANBP17 5.269296094097744E-8 14 14.64003191158694
EMR2 5.373850941520946E-8 13 10.119002358346489
CCDC170 5.3989524936572095E-8 13 10.133669230886024
C1orf173 5.54103087939858E-8 15 19.381156064433334
TRPM4 5.748751680734304E-8 14 14.914115464274317
KIAA1586 5.873853217126426E-8 13 10.399003181286796
PZP 5.917408521526079E-8 15 19.58798890798849
RAD51AP2 6.081725892933839E-8 14 15.091325345253116
ZNF626 6.236120372793378E-8 12 6.004492325403863
ALS2CR12 6.37856210513329E-8 12 6.075571811183801
USP45 6.430997781626728E-8 13 10.684205784193615
AGMO 6.502229000115381E-8 12 6.136006899282749
THNSL1 6.712940665764519E-8 13 10.81924724892912
ZNF343 7.126178294022354E-8 13 11.007259193520474
ABCA8 7.339903222748533E-8 15 20.26599741584083
ZNF347 7.435965952485644E-8 13 11.14118652337833
SERGEF 7.757779709398102E-8 12 6.6916621331999036
IMPG1 7.791691507772262E-8 13 11.288257130826052
ITGA7 7.888509358752224E-8 14 15.909990726392628
EXO1 8.351531966757992E-8 13 11.50663726103492
HYAL4 9.000858544847554E-8 12 7.159422315130239
MCTP2 9.119752493359884E-8 13 11.783590278451543
FAM151A 9.626970927460502E-8 12 7.3710724622005035
ZNF571 9.957067602565733E-8 12 7.477179682733218
UMODL1 9.991637467387138E-8 14 16.653822167976344
PKHD1 1.0264771519945938E-7 22 53.40163964292246
DDX55 1.067085242909191E-7 12 7.695076160440524
KRT77 1.0892069979949175E-7 12 7.759655278734522
EFHB 1.1139723424355391E-7 13 12.413280836683688
DHX58 1.1332724579112227E-7 12 7.8844747639059065
HEPHL1 1.1617356347767906E-7 14 17.128279556746314
DNAH2 1.1928848793476888E-7 24 63.04022700620004
ZNF257 1.2354420333107977E-7 12 8.156145797693675
PRB2 1.3339385201077214E-7 12 8.397564052172056
GANC 1.4382169926691636E-7 13 13.217321384551168
ZNF28 1.4565267602798245E-7 12 8.674268880252692
C1orf168 1.4624133212782307E-7 12 8.686962982384951
AGBL2 1.4666413897352802E-7 13 13.278916331981613
ZNF510 1.5215239743363824E-7 12 8.811671987763907
CCDC63 1.5316601044198943E-7 12 8.832569073077824
CARD6 1.734036070421026E-7 13 13.8060117462807
MEGF6 1.7470362138657245E-7 14 18.412386211796182
AOX1 1.837497870237479E-7 14 18.571273440820107
KIAA1407 1.8486979787497227E-7 13 14.007531619807976
ZNF443 1.8911700964404994E-7 12 9.496152105518377
ZNF442 1.9241611440815975E-7 12 9.550582268286462
MYO3B 1.9384748046047315E-7 14 18.739642329864132
PKDREJ 2.0282149561379976E-7 16 28.04780547327418
COL28A1 2.0298613907484427E-7 13 14.301757679456152
AIM1 2.0736295861530666E-7 15 23.534632895888773
NLRP2 2.1867108198708091E-7 13 14.536012638100281
PCDHB1 2.296357005486062E-7 12 10.107127380892013
ASPM 2.3665440444301502E-7 22 56.03055361181149
MEP1B 2.4585882137313577E-7 12 10.321970998433065
FANCM 2.6690745041656933E-7 16 28.911971301729878
CNKSR1 2.732938852540565E-7 12 10.65492221470383
AKNAD1 2.8591051662151425E-7 12 10.796962497347632
COL20A1 2.9129672320233176E-7 13 15.438569009221755
URB2 2.9624699056588975E-7 14 20.0744713547215
CLCA4 3.034440905311325E-7 12 10.984283701121974
GCNT3 3.1804777725861785E-7 11 6.549351864586081
SLFN5 3.2725629425745867E-7 12 11.22204873176517
CROT 3.3385262980647923E-7 12 11.284855889979257
IFT81 3.554238887753215E-7 12 11.481911530306634
FRMPD2 3.577001447747964E-7 13 16.0848707031937
TLR10 3.6143176088131037E-7 12 11.534666594785214
ALPK1 3.664826675776829E-7 13 16.161211623378108
TRIM22 3.698914427116293E-7 11 7.02461577056747
ACAD10 3.72862437001769E-7 13 16.215528349890768
IL17RB 3.7376835307520726E-7 11 7.057431375942383
SLC25A24 3.817980721690707E-7 11 7.1243287520176874
ATP8B4 3.9944493461521346E-7 13 16.432269927722835
FAM217A 3.9964922178090206E-7 11 7.2681447157145
CENPF 4.0168412208159384E-7 19 43.947066720119025
CHEK2 4.2167774028341654E-7 11 7.437009241527838
ROS1 4.2557395424288735E-7 16 30.380291914773693
DNAH9 4.287894890296603E-7 22 57.901185817485946
ZNF432 4.301699794963286E-7 12 12.082630195717313
DNMT3A 4.35723287943729E-7 12 12.123000167259264
CCDC39 4.4625172285077595E-7 12 12.198143979699584
CEP95 4.4697954316080103E-7 12 12.203272893636573
CPSF3L 4.761123428713414E-7 11 7.819127993541866
ANKZF1 4.874921556854827E-7 12 12.47633502679322
UBXN11 4.972625922814155E-7 11 7.9559225376310545
OR4A16 5.471287666142112E-7 10 3.6738279059424106
RECQL 5.663087393942023E-7 11 8.365135283887994
APOBR 5.686305487581699E-7 12 12.96087963331053
ZNF587 5.68645088929071E-7 11 8.378092907189583
ACSM4 5.813947456252759E-7 11 8.447878941223085
GAL3ST2 5.834954795043114E-7 10 3.8763631961947613
PDE4DIP 5.877200044645066E-7 17 35.97913791239687
PDE11A 5.939757906148124E-7 12 13.098124998618392
ADAM8 5.98966919169291E-7 11 8.541593615053916
SLCO1B1 6.359366858978137E-7 11 8.730092411970002
NWD1 6.470275262349883E-7 13 17.95024272460191
ANKRD23 6.569707018319491E-7 10 4.249638954864279
CNTN6 6.619277504328714E-7 12 13.439031413949309
CNTRL 6.63711663749153E-7 17 36.36183801874036
AAAS 6.702023160145448E-7 11 8.89526354124807
KIF4B 6.731221675784631E-7 13 18.074679823571593
PCDHB12 6.925105046836976E-7 11 8.998317322242297
IRF2BPL 7.082785302139123E-7 11 9.069175192800792
VWA3B 7.198105394474726E-7 13 18.28574008886787
LRRIQ3 7.21887542233335E-7 11 9.12907403298141
C9orf131 7.260229542252065E-7 12 13.729919320552794
ZNF782 7.268967325874311E-7 11 9.150837632456184
QRICH2 7.298264846428045E-7 14 22.912098828880286
ZNF254 7.300704276522664E-7 11 9.164549016786696
ZNF337 7.381956282905632E-7 12 13.782249867049224
ASTE1 7.425593639793233E-7 11 9.2179325689705
MLH3 7.451094008748452E-7 13 18.394456586336226
CCDC11 7.677789279408742E-7 11 9.323048587807213
ZNF528 7.683760083715597E-7 11 9.325495188191178
TSNAXIP1 7.871072404889978E-7 11 9.40129833001042
