Gene stable ID	Macaque gene stable ID	dN with Macaque	dS with Macaque	Macaque homology type
ENSG00000116996	ENSMMUG00000002105	0.0382	0.0834	ortholog_one2one
ENSG00000143772	ENSMMUG00000061649	0.0204	0.0763	ortholog_one2one
ENSG00000120370	ENSMMUG00000014674	0.0229	0.0799	ortholog_one2one
ENSG00000117480	ENSMMUG00000002714	0.0677	0.2206	ortholog_one2one
ENSG00000157978	ENSMMUG00000051142	0.0612	0.2601	ortholog_one2one
ENSG00000143801	ENSMMUG00000018525	0.001	0.1643	ortholog_one2one
ENSG00000160781	ENSMMUG00000000085	0.2686	0.7595	ortholog_one2one
ENSG00000143669	ENSMMUG00000012729	0.0121	0.0506	ortholog_one2one
ENSG00000168710	ENSMMUG00000022715	0	0	ortholog_one2one
ENSG00000158715	ENSMMUG00000004116	0.0095	0.092	ortholog_one2one
ENSG00000069275	ENSMMUG00000055835	0.0125	0.115	ortholog_one2one
ENSG00000117643	ENSMMUG00000004788	0.0149	0.1215	ortholog_one2one
ENSG00000143379	ENSMMUG00000023235	0.0147	0.0686	ortholog_one2one
ENSG00000116132	ENSMMUG00000050865	0	0	ortholog_one2one
ENSG00000197587	ENSMMUG00000014634	0.0097	0.0534	ortholog_one2one
ENSG00000116478	ENSMMUG00000009948	0.001	0.0735	ortholog_one2one
ENSG00000116752	ENSMMUG00000043063	0	0	ortholog_one2one
ENSG00000143418	ENSMMUG00000023234	0.005	0.0443	ortholog_one2one
ENSG00000133019	ENSMMUG00000021442	0.0069	0.0581	ortholog_one2one
ENSG00000163050	ENSMMUG00000008636	0.0093	0.1554	ortholog_one2one
ENSG00000282881	ENSMMUG00000054075	0.048	0.2575	ortholog_one2one
ENSG00000079277	ENSMMUG00000020162	0.0101	0.0728	ortholog_one2one
ENSG00000162814	ENSMMUG00000007213	0.0146	0.0331	ortholog_one2one
ENSG00000175984	ENSMMUG00000014497	0.0104	0.0526	ortholog_one2one
ENSG00000143862	ENSMMUG00000031357	0.0299	0.0785	ortholog_one2one
ENSG00000127423	ENSMMUG00000007856	0.0484	0.0619	ortholog_one2one
ENSG00000170075	ENSMMUG00000013788	0.0121	0.1968	ortholog_one2one
ENSG00000142961	ENSMMUG00000063131	0	0	ortholog_one2one
ENSG00000117640	ENSMMUG00000007854	0.0086	0.0702	ortholog_one2one
ENSG00000162456	ENSMMUG00000044038	0.3271	0.6954	ortholog_one2one
ENSG00000155363	ENSMMUG00000059489	0.0047	0.056	ortholog_one2one
ENSG00000094963	ENSMMUG00000019727	0.0153	0.0727	ortholog_one2one
ENSG00000175130	ENSMMUG00000009951	0	0	ortholog_one2one
ENSG00000117501	ENSMMUG00000013380	0.0591	0.0546	ortholog_one2one
ENSG00000007933	ENSMMUG00000007952	0.0264	0.0677	ortholog_one2one
ENSG00000010932	ENSMMUG00000005069	0.0097	0.0635	ortholog_one2one
ENSG00000225828	ENSMMUG00000000352	0.0258	0.0416	ortholog_one2one
ENSG00000162526	ENSMMUG00000056341	0.0034	0.0661	ortholog_one2one
ENSG00000162676	ENSMMUG00000005068	0.002	0.0845	ortholog_one2one
ENSG00000155816	ENSMMUG00000059650	0.0498	0.1636	ortholog_one2one
ENSG00000162877	ENSMMUG00000003673	0.1173	0.1377	ortholog_one2one
ENSG00000133065	ENSMMUG00000021426	0	0	ortholog_one2one
ENSG00000180875	ENSMMUG00000064824	0	0	ortholog_one2one
ENSG00000067208	ENSMMUG00000005070	0.0034	0.0323	ortholog_one2one
ENSG00000182901	ENSMMUG00000010729	0.002	0.0415	ortholog_one2one
ENSG00000116962	ENSMMUG00000012716	0.0112	0.0943	ortholog_one2one
ENSG00000162551	ENSMMUG00000002217	0.0114	0.0857	ortholog_one2one
ENSG00000086619	ENSMMUG00000044139	0.003	0.0321	ortholog_one2one
ENSG00000158869	ENSMMUG00000004512	0.0066	0.0203	ortholog_one2one
ENSG00000077585	ENSMMUG00000014263	0.0012	0.09	ortholog_one2one
ENSG00000174502	ENSMMUG00000014694	0.0092	0.1017	ortholog_one2one
ENSG00000154511	ENSMMUG00000005073	0.0021	0.0332	ortholog_one2one
ENSG00000122406	ENSMMUG00000005072	0	0	ortholog_one2one
ENSG00000158874	ENSMMUG00000004516	0.0336	0.0815	ortholog_one2one
ENSG00000276600	ENSMMUG00000061872	0	0	ortholog_one2one
ENSG00000116580	ENSMMUG00000009987	0.0221	0.0544	ortholog_one2one
ENSG00000173207	ENSMMUG00000056894	0	0	ortholog_one2one
ENSG00000132681	ENSMMUG00000017833	0.0183	0.0689	ortholog_one2one
ENSG00000198952	ENSMMUG00000000090	0.0048	0.0415	ortholog_one2one
ENSG00000143851	ENSMMUG00000013789	0.0106	0.1087	ortholog_one2one
ENSG00000156150	ENSMMUG00000060619	0.0185	0.0726	ortholog_one2one
ENSG00000143093	ENSMMUG00000005426	0.0028	0.0698	ortholog_one2one
ENSG00000196188	ENSMMUG00000021591	0.1339	0.3181	ortholog_one2one
ENSG00000263961	ENSMMUG00000002254	0.08	0.1047	ortholog_one2one
ENSG00000198715	ENSMMUG00000000092	0.3	0.5367	ortholog_one2one
ENSG00000116748	ENSMMUG00000001978	0.0131	0.047	ortholog_one2one
ENSG00000163472	ENSMMUG00000047929	0.0119	0.084	ortholog_one2one
ENSG00000198049	ENSMMUG00000054385	0.0188	0.1193	ortholog_one2one
ENSG00000143318	ENSMMUG00000056833	0.0062	0.0469	ortholog_one2one
ENSG00000143412	ENSMMUG00000023231	0.0297	0.0652	ortholog_one2one
ENSG00000143409	ENSMMUG00000010067	0.0338	0.0343	ortholog_one2one
ENSG00000162734	ENSMMUG00000017838	0.0029	0.0314	ortholog_one2one
ENSG00000160688	ENSMMUG00000006584	0.0987	0.1897	ortholog_one2one
ENSG00000197106	ENSMMUG00000021544	0.0037	0.1099	ortholog_one2one
ENSG00000186197	ENSMMUG00000021238	0.0186	0.0682	ortholog_one2one
ENSG00000091483	ENSMMUG00000005667	0.0064	0.0645	ortholog_one2one
ENSG00000143033	ENSMMUG00000016808	0.0008	0.0108	ortholog_one2one
ENSG00000196550	ENSMMUG00000004318	0	0	ortholog_one2many
ENSG00000158882	ENSMMUG00000060496	0.0014	0.0294	ortholog_one2many
ENSG00000158882	ENSMMUG00000018126	0.0014	0.0294	ortholog_one2many
ENSG00000266028	ENSMMUG00000022614	0.0004	0.0601	ortholog_one2many
ENSG00000189030	ENSMMUG00000064443	0.1722	0.2479	ortholog_one2one
ENSG00000076258	ENSMMUG00000014230	0.0186	0.061	ortholog_one2one
ENSG00000213281	ENSMMUG00000049105	0	0	ortholog_one2one
ENSG00000143257	ENSMMUG00000018128	0.0123	0.0475	ortholog_one2many
ENSG00000143257	ENSMMUG00000058306	0.3332	0.9659	ortholog_one2many
ENSG00000143776	ENSMMUG00000008638	0.0039	0.0407	ortholog_one2one
ENSG00000117009	ENSMMUG00000005668	0.028	0.0447	ortholog_one2one
ENSG00000162843	ENSMMUG00000008763	0.0199	0.0689	ortholog_one2one
ENSG00000160685	ENSMMUG00000004053	0.0398	0.1177	ortholog_one2one
ENSG00000163354	ENSMMUG00000023336	0.0116	0.0597	ortholog_one2one
ENSG00000054277	ENSMMUG00000005669	0.0012	0.0585	ortholog_one2one
ENSG00000186118	ENSMMUG00000004864	0.032	0.0649	ortholog_one2one
ENSG00000123472	ENSMMUG00000004863	0.013	0.0552	ortholog_one2one
ENSG00000143847	ENSMMUG00000000063	0.0254	0.1229	ortholog_one2one
ENSG00000133067	ENSMMUG00000013790	0.0104	0.0931	ortholog_one2one
ENSG00000122483	ENSMMUG00000016812	0.0106	0.0365	ortholog_one2one
ENSG00000263528	ENSMMUG00000002526	0.0098	0.1277	ortholog_one2one
ENSG00000117500	ENSMMUG00000045421	0.0047	0.0211	ortholog_one2one
ENSG00000160058	ENSMMUG00000001264	0.0357	0.1113	ortholog_one2one
ENSG00000077152	ENSMMUG00000013795	0.0176	0.011	ortholog_one2one
ENSG00000182749	ENSMMUG00000007857	0.012	0.1112	ortholog_one2one
ENSG00000159658	ENSMMUG00000013741	0.0474	0.0423	ortholog_one2many
ENSG00000159658	ENSMMUG00000056043	0.0149	0.0283	ortholog_one2many
ENSG00000143363	ENSMMUG00000010068	0.014	0.0539	ortholog_one2one
ENSG00000117523	ENSMMUG00000013639	0.009	0.0503	ortholog_one2one
ENSG00000143537	ENSMMUG00000023340	0.0166	0.0569	ortholog_one2one
ENSG00000143858	ENSMMUG00000004001	0.0031	0.1057	ortholog_one2one
ENSG00000077157	ENSMMUG00000003998	0.0185	0.0811	ortholog_one2one
ENSG00000163141	ENSMMUG00000010071	0.0385	0.0757	ortholog_one2one
ENSG00000143486	ENSMMUG00000002528	0.0119	0.0368	ortholog_one2one
ENSG00000266094	ENSMMUG00000045607	0.0117	0.0649	ortholog_one2one
ENSG00000122180	ENSMMUG00000043626	0.0056	0.1199	ortholog_one2one
ENSG00000117632	ENSMMUG00000000653	0.0036	0.0569	ortholog_one2one
ENSG00000163485	ENSMMUG00000008714	0.0013	0.1558	ortholog_one2one
ENSG00000174371	ENSMMUG00000008761	0.0196	0.0926	ortholog_one2one
ENSG00000163357	ENSMMUG00000023339	0.0243	0.0856	ortholog_one2one
ENSG00000009307	ENSMMUG00000001974	0.0006	0.023	ortholog_one2one
ENSG00000196289	ENSMMUG00000060345	0.0516	0.0993	ortholog_one2one
ENSG00000133055	ENSMMUG00000064766	0.019	0.0689	ortholog_one2one
ENSG00000197769	ENSMMUG00000015883	0.0301	0.0689	ortholog_one2many
ENSG00000197769	ENSMMUG00000053723	0.0211	0.056	ortholog_one2many
ENSG00000158006	ENSMMUG00000000655	0.0731	0.1553	ortholog_one2one
ENSG00000133048	ENSMMUG00000008711	0.0154	0.1021	ortholog_one2one
ENSG00000119285	ENSMMUG00000015135	0.0148	0.0617	ortholog_one2one
ENSG00000132716	ENSMMUG00000017841	0.0023	0.038	ortholog_one2one
ENSG00000143479	ENSMMUG00000023566	0.0284	0.0925	ortholog_one2one
ENSG00000116977	ENSMMUG00000015132	0.026	0.0574	ortholog_one2one
ENSG00000180287	ENSMMUG00000004265	0.0043	0.0486	ortholog_one2one
ENSG00000143443	ENSMMUG00000010072	0.0302	0.0465	ortholog_one2one
ENSG00000197622	ENSMMUG00000010074	0	0	ortholog_one2one
ENSG00000162889	ENSMMUG00000023567	0.0574	0.1737	ortholog_one2one
ENSG00000198821	ENSMMUG00000008158	0.2789	0.4865	ortholog_one2one
ENSG00000143740	ENSMMUG00000001869	0.0977	0.2043	ortholog_one2one
ENSG00000081692	ENSMMUG00000053969	0.0221	0.15	ortholog_one2one
ENSG00000142973	ENSMMUG00000019873	0.0177	0.0642	ortholog_one2one
ENSG00000133063	ENSMMUG00000008709	0.0357	0.1176	ortholog_one2one
ENSG00000158008	ENSMMUG00000061744	0.0207	0.0706	ortholog_one2one
ENSG00000142224	ENSMMUG00000023570	0.0442	0.0514	ortholog_one2one
ENSG00000136634	ENSMMUG00000023569	0.022	0.0355	ortholog_one2one
ENSG00000158014	ENSMMUG00000012328	0.0154	0.1344	ortholog_one2one
ENSG00000185888	ENSMMUG00000060353	0.0389	0.1014	ortholog_one2one
ENSG00000273274	ENSMMUG00000055077	0.0063	0.0697	ortholog_one2many
ENSG00000160062	ENSMMUG00000051742	0.0075	0.028	ortholog_one2one
ENSG00000176261	ENSMMUG00000009939	0.0051	0.0769	ortholog_one2one
ENSG00000143162	ENSMMUG00000063120	0.0145	0.0568	ortholog_one2one
ENSG00000158022	ENSMMUG00000009452	0.0096	0.0684	ortholog_one2one
ENSG00000175087	ENSMMUG00000016874	0	0	ortholog_one2one
ENSG00000143816	ENSMMUG00000008338	0.039	0.3037	ortholog_one2one
ENSG00000154342	ENSMMUG00000050712	0.0011	0.1935	ortholog_one2one
ENSG00000197245	ENSMMUG00000045223	0.0095	0.1102	ortholog_one2one
ENSG00000282872	ENSMMUG00000039194	0.0127	0.0902	ortholog_one2one
ENSG00000142684	ENSMMUG00000030530	0.0468	0.1159	ortholog_one2many
ENSG00000142684	ENSMMUG00000004682	0.0207	0.0838	ortholog_one2many
ENSG00000236782	ENSMMUG00000040742	0.0083	0.1024	ortholog_one2one
ENSG00000159388	ENSMMUG00000053426	0.0024	0.0963	ortholog_one2one
ENSG00000122176	ENSMMUG00000021642	0.0046	0.0815	ortholog_one2one
ENSG00000198520	ENSMMUG00000013341	0.0182	0.0845	ortholog_one2one
ENSG00000188783	ENSMMUG00000021641	0.0069	0.0865	ortholog_one2one
ENSG00000188770	ENSMMUG00000021640	0.0274	0.0876	ortholog_one2one
ENSG00000058668	ENSMMUG00000021116	0.0085	0.0649	ortholog_one2one
ENSG00000198771	ENSMMUG00000023372	0.0365	0.1159	ortholog_one2one
ENSG00000162891	ENSMMUG00000023571	0.0118	0.0412	ortholog_one2one
ENSG00000162894	ENSMMUG00000023573	0.0549	0.1059	ortholog_one2one
ENSG00000162892	ENSMMUG00000023572	0.0382	0.0419	ortholog_one2one
ENSG00000143761	ENSMMUG00000052432	0	0	ortholog_one2one
