Gene stable ID	Pfam ID	Pfam start	Pfam end
ENSG00000204805	PF15832	19	109
ENSG00000143954	PF00059	58	173
ENSG00000109107	PF00274	15	364
ENSG00000114735	PF17827	43	115
ENSG00000114735	PF05175	163	249
ENSG00000145107	PF05805	11	147
ENSG00000140285	PF00167	65	189
ENSG00000104472	PF00808	18	78
ENSG00000118496	PF15966	610	724
ENSG00000118496	PF15965	7	99
ENSG00000116996	PF00088	143	182
ENSG00000116996	PF00100	189	459
ENSG00000134545	PF00059	137	230
ENSG00000108984	PF00069	56	314
ENSG00000213123	PF03645	44	139
ENSG00000177469	PF15237	48	256
ENSG00000177469	PF15237	259	320
ENSG00000157765	PF02690	110	213
ENSG00000157765	PF02690	388	502
ENSG00000159259	PF00400	161	198
ENSG00000159259	PF00400	64	94
ENSG00000159259	PF00400	120	157
ENSG00000159259	PF15512	381	553
ENSG00000103876	PF09298	15	118
ENSG00000103876	PF01557	124	412
ENSG00000089157	PF00466	8	104
ENSG00000089157	PF17777	111	180
ENSG00000089157	PF00428	231	316
ENSG00000270188	PF15040	1	22
ENSG00000242389	PF00076	10	79
ENSG00000242389	PF08081	174	218
ENSG00000149548			
ENSG00000146414	PF00176	307	987
ENSG00000146414	PF00271	1518	1626
ENSG00000146414	PF00538	440	510
ENSG00000114547			
ENSG00000168748	PF00194	7	261
ENSG00000116117	PF00595	503	575
ENSG00000116117	PF00595	384	466
ENSG00000116117	PF12053	1	83
ENSG00000159256	PF07496	409	451
ENSG00000159256	PF13589	30	140
ENSG00000159256	PF17942	249	382
ENSG00000163312	PF00271	564	712
ENSG00000163312	PF00270	346	505
ENSG00000203685	PF15795	44	126
ENSG00000161217	PF01467	80	208
ENSG00000274933	PF00566	105	312
ENSG00000153976	PF00685	153	388
ENSG00000111325			
ENSG00000172478	PF03281	137	350
ENSG00000114021	PF00795	5	256
ENSG00000143772	PF03770	726	936
ENSG00000122257	PF13696	156	176
ENSG00000122257	PF04564	253	325
ENSG00000122257	PF08783	4	76
ENSG00000163947	PF00621	159	334
ENSG00000172023	PF00059	54	164
ENSG00000265817	PF00271	464	573
ENSG00000265817	PF00176	135	413
ENSG00000197275	PF00271	648	757
ENSG00000197275	PF00176	319	597
ENSG00000126882			
ENSG00000187151	PF00147	161	380
ENSG00000226321	PF15035	120	264
ENSG00000090402	PF16863	994	1107
ENSG00000090402	PF16863	125	234
ENSG00000090402	PF00088	66	108
ENSG00000090402	PF00088	936	977
ENSG00000090402	PF01055	324	797
ENSG00000090402	PF01055	1195	1691
ENSG00000110318	PF15352	105	1081
ENSG00000197563	PF01663	158	268
ENSG00000197563	PF04987	430	884
ENSG00000123612	PF08515	166	193
ENSG00000123612	PF07714	196	480
ENSG00000138083	PF16878	87	201
ENSG00000138083	PF00046	211	262
ENSG00000244731	PF17789	369	454
ENSG00000244731	PF07677	1481	1570
ENSG00000244731	PF01835	141	233
ENSG00000244731	PF17791	235	321
ENSG00000244731	PF01759	1616	1724
ENSG00000244731	PF00207	782	869
ENSG00000244731	PF01821	702	736
ENSG00000244731	PF07678	985	1315
ENSG00000244731	PF07703	474	610
ENSG00000120370	PF04949	166	300
ENSG00000105552	PF01063	92	342
ENSG00000117480	PF01425	96	562
ENSG00000172020	PF06614	103	274
ENSG00000172020	PF00612	68	88
ENSG00000172020	PF10580	46	67
ENSG00000115568	PF13909	401	425
ENSG00000115568	PF00096	192	211
ENSG00000115568	PF00096	1565	1587
ENSG00000115568	PF00096	1536	1559
ENSG00000011028	PF00040	187	228
ENSG00000011028	PF00059	995	1109
ENSG00000011028	PF00059	1288	1394
ENSG00000011028	PF00059	539	645
ENSG00000011028	PF00059	694	809
ENSG00000011028	PF00059	1143	1243
ENSG00000011028	PF00059	399	506
ENSG00000011028	PF00059	256	361
ENSG00000011028	PF00059	844	952
ENSG00000006695	PF01040	170	415
ENSG00000198156	PF06409	200	301
ENSG00000198156	PF06409	78	199
ENSG00000176170	PF00781	102	214
ENSG00000258472			
ENSG00000142515	PF00089	20	254
ENSG00000160307	PF01023	4	46
ENSG00000164220	PF00001	116	358
ENSG00000087111	PF10510	23	545
ENSG00000205336	PF01825	345	388
ENSG00000205336	PF18587	29	162
ENSG00000205336	PF18619	173	220
ENSG00000205336	PF00002	403	654
ENSG00000163959	PF03619	56	321
ENSG00000157978	PF00640	48	170
ENSG00000074582	PF08740	25	191
ENSG00000074582	PF00004	227	354
ENSG00000163808	PF00225	32	363
ENSG00000163808	PF15908	1278	1379
ENSG00000146776	PF08313	278	344
ENSG00000114978	PF03637	33	204
ENSG00000173064	PF00632	4078	4410
ENSG00000161542	PF13793	44	155
ENSG00000161542	PF14572	196	379
ENSG00000136960	PF01223	664	896
ENSG00000136960	PF01033	58	96
ENSG00000136960	PF01033	101	140
ENSG00000136960	PF01663	166	530
ENSG00000076650	PF01585	154	178
ENSG00000076650	PF07713	32	116
ENSG00000065320	PF00053	285	333
ENSG00000065320	PF00053	404	445
ENSG00000065320	PF00053	341	392
ENSG00000065320	PF00055	51	283
ENSG00000065320	PF01759	488	594
ENSG00000121871	PF13855	456	516
ENSG00000121871	PF13855	105	160
ENSG00000007216	PF00939	6	614
ENSG00000143801	PF01080	386	471
ENSG00000143801	PF01080	115	339
ENSG00000132600	PF06325	65	124
ENSG00000155099	PF09788	7	250
ENSG00000066405	PF00822	9	192
ENSG00000168757	PF00956	153	244
ENSG00000170577	PF00046	130	180
ENSG00000170577	PF16878	9	119
ENSG00000114200	PF00135	31	550
ENSG00000114200	PF08674	565	600
ENSG00000160539	PF01569	145	252
ENSG00000163960	PF13899	153	233
ENSG00000163960	PF00789	410	486
ENSG00000163960	PF14555	16	54
ENSG00000044574	PF00012	30	635
ENSG00000115386	PF00059	54	164
ENSG00000109101	PF00250	271	356
ENSG00000073737	PF00106	90	276
ENSG00000184205	PF00956	261	377
ENSG00000169807			
ENSG00000206535	PF15419	7	188
ENSG00000158163	PF13815	24	144
